PID,Country,Progress,Finished,Entities_1,Entities_2,Entities_3,Entities_4,Entities_5,Entities_6,Entities_7,Entities_8,Entities_9,Entities_10,Entities_11,Entities_12,Entities_13,Entities_14,Entities_15,Entities_16,Entities_17,Entities_18,Entities_19,Entities_20,Entities_21,Entities_22,Entities_23,Entities_24,Entities_25,Entities_26,Entities_27,Entities_28,Entities_29,SV1,SV2,SV3,SV4,SV5,SV6,SVC7,SVC8,SVC9,SVC10,SVC11,Parent,Sc_self,Sc_self_CODED,Sc_self_SOURCE,Sc_School,Sc_School_CODED,Sc_School_SOURCE,Sc_class_act,Sc_class_sch,Sc_class_text,Sc_confl,Sc_confl_type,Sc_confl_score,Sc_talk,Sc_talk_freq,Retro_Sc_p_inf,Retro_Sc_p_CODED,Retro_Sc_p_SOURCE,Retro_sch_inf,Retro_sch_CODED,Retro_sch_SOURCE,Retro_sc_freq,Retro_sc_class,Retro_sc_class_text,Retro_sc_conf,Retro_sc_conf_type,Retro_sc_conf_score,Retro_sc_talk,Retro_sc_talk_freq,Future_sc_talk,Grades,RV1,RV2,RV3,RV4,RV5,RV6,RVC7,RVC8,RVC9,RVC10,RVC11,Rel_self,Rel_self_CODED,Rel_self_SOURCE,Rel_school,Rel_school_CODED,Rel_school_SOURCE,Rel_class_freq,Rel_class,Rel_class_type,Rel_confl,Rel_confl_type,Rel_confl_score,Rel_talk,Rel_talk_freq,Rel_freq_child,Retro_rel_parent_inf,Retro_rel_p_CODED,Retro_rel_p_SOURCE,Retro_rel_school_inf,Retro_rel_s_CODED,Retro_rel_s_SOURCE,Retro_rel_class_freq,Retro_rel_class,Retro_rel_class_type,Retro_rel_confl,Retro_rel_confl_type,Retro_rel_confl_score,Retro_rel_talk,Retro_rel_talk_freq,Retro_rel_child_freq,Future_rel_child_freq,Rel_symb,Pray_diff,Pray_wish,Worship_freq,Worship_frequent,God_control,Divine,Faith,God_punish,Afterlife,Rel_freq,Rel_frequent,Religiosity,Religion,Religion_score,Belief_other,Folk,Religion_father,Religion_mother,Religion_granny,Rel_myparentonmychild,Rel_grannyonme,Parenting_parentonme,Parenting_grannyonparent,Parenting_meonmychild,Religion_partner,Religion_influenced_child,Religion_influenced,Rel_spi_activities,Rel_spi_act_solo_other,Rel_spi_act_group_other,Rel_spi_act_child,Rel_spi_act_parents,Rel_holiday,Rel_events,Worship_place,Worship_place_other,Gender,Ethnicity,SISI_ethnicity,SISI_Religion,SISI_National,SISI_student,Edu_level,Edu_level_other,Parent_edu,Parent_edu_other,Employment,Occupation,SES_1,Birthdate,Adjusted_ages,Age,Child_age,Aus_Pr_citizen,Nationality,Aus_born,Country_birth,Origin
126,1,100,TRUE,7,7,7,7,7,5,7,7,7,7,7,3,7,7,7,2,1,5,6,5,6,7,2,6,7,4,3,3,5,4,4,5,5,5,4,4,5,5,5,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes. My parents are both christian and very superstitious so being in that environment where science wasn't necessarily the main perspective made me open to things unexplained by science.,affirmation,parent-only source,"Yes. I went to a religious, christian school but as I did not enjoy the experience it made me veer more towards views opposing the school's (scientific views).",affirmation,multiple source,3,Yes,"in school: Biology, Physics, Chemistry; outside school: private science tuition",They disagreed with me at times often getting into debates but I was still allowed to hold such views.,supportive,1,No,"They did not initiate any talks about science but when I did it would be like once a month, and we would talk about the existence of God and the scientific evidence of evolution.",Yes,2,2,3,5,5,4,2,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes. Their blind faith in religion influenced me to view it very skeptically as I saw their faith as detrimental.,affirmation,parent-only source,"Yes, as I did not enjoy the religious views of my school I was more open to views on religion opposing the traditional christian view.",affirmation,multiple source,2,Yes,Bible study,"They would openly debate with me but they wouldn't stop me from having such views, though they would be disappointed.",supportive,1,Yes,"Once a month, we would just talk about the existence of a God and the ethics of christianity.",1,7,Yes,Agree,Agree,Less than once a year,0,Disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Once a month,1,0,None,0,NA,NA,Protestant,Protestant,Protestant,NA,Not at all,NA,Not at all,Little,NA,NA,Atheism,Other group activity,NA,NA,NA,No,Yes,None,Churches,NA,Female,Asian,NA,Somewhat disagree,Strongly agree,Strongly agree,Some university education (yet to be completed),NA,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,"Yes, casual",Customer Assistant,2,01/08/2002,18,9042.08.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
20,1,100,TRUE,7,7,7,7,7,1,7,7,7,7,6,7,7,7,7,6,6,5,5,1,2,7,2,4,2,4,4,4,5,4,2,4,2,4,4,4,2,4,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,affirmation,uninformative,Yes,affirmation,uninformative,2,Yes,Biology,Accepting,supportive,1,Yes,Regularly,Yes,2,4,3,4,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,affirmation,uninformative,Yes,affirmation,uninformative,5,Yes,Christian Studies,Accepting,supportive,1,Yes,Often,5,4,No,Agree,Agree,Less than once a year,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Only on special holy days,0,1,Christian,1,NA,NA,Christian,Christian,Christian,NA,Little,NA,Quite a lot,Quite a lot,NA,NA,Christian,Solo prayer,NA,NA,NA,No,Yes,Christmas and Easter,Churches,NA,Male,Caucasian/White,NA,Strongly disagree,Strongly disagree,Strongly agree,Some university education (yet to be completed),NA,"Post-graduate degree (Masters, PhD)",NA,No,NA,8,10/18/2002,17,383470.22.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
169,1,100,TRUE,7,7,7,7,7,3,7,7,7,6,3,7,6,7,7,6,4,4,6,7,7,7,3,5,6,7,6,7,1,4,4,5,4,4,2,4,2,4,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, my parents both believed in science so I never really questioned it.",affirmation,parent-only source,Yes- school encouraged me to think critically and to be curious about the world,affirmation,multiple source,7,Yes,In: compulsary science classes until grade 10,"They would respect my views, and encourage me critically about all views",supportive,1,No,NA,Yes,3,3,3,4,4,4,4,2,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes- my mother was catholic so I was brought up catholic.,affirmation,parent-only source,Yes- I went to catholic school so it reinforced my existing beliefs.,affirmation,multiple source,7,Yes,None,They would accept and respect my view- probably be interested,supportive,1,Yes,When moral issues came up or to criticiss Church admnistration.,2,NA,Yes,Strongly agree,Strongly agree,More than once a week,1,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Less than once a year,0,0,Catholic,1,NA,NA,Catholic,Catholic,Catholic,NA,Little,NA,A great deal,A great deal,NA,NA,Catholic,Solo prayer,NA,NA,NA,No,"Yes, but as cultural holidays",None,Churches,NA,Female,Caucasian/White,NA,Strongly disagree,Strongly agree,Strongly agree,Undergraduate degree,NA,Undergraduate degree,NA,"Yes, casual",OSHC Educator,6,08/12/1997,22,689411.26.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
35,1,100,TRUE,7,7,7,7,7,2,7,7,7,7,4,7,7,6,7,7,7,7,4,2,2,7,5,7,1,7,7,4,2,5,3,5,5,5,3,4,3,3,2,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes. My parents are both doctors so their outlook on health and the scientific evidnece behind it has strongly impacted the way I see science and the importnace of it,affirmation,parent-only source,Yes. It was an academic school adn therefore put a strong emphasis on knowledge much of which comes from science,affirmation,multiple source,1,Yes,"Biology, Chemistry",I think they'd be alright with it as long as it comes from a solid research stand point,supportive,1,Yes,"We spoke often, usually when I asked them questions about their work and the medical field or other questions that interested me about the world",Yes,3,5,5,5,5,5,5,5,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes to an extent, they gave me the foundation for my religious views but did not push it on me",affirmation,parent-only source,"Yes, it was a catholic school and we learnt about it alot",affirmation,multiple source,1,Yes,Studies of religion,They wouldn't care,supportive,0,Yes,"It was really when we asked, we spoke about whatever was asked really",2,2,Yes,Agree,Neither agree nor disagree,More than once a week,1,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,More than once a week,1,1,Catholic,1,NA,NA,Catholic,Catholic,Catholic,NA,Quite a lot,NA,Quite a lot,Quite a lot,Catholic,NA,Catholic,"Solo prayer,Group prayer,Other group activity",NA,Community and small group sessions of faith sharing,NA,No,Yes,"Yes, all the ajor feasts days of the Catholic church are celbrated in one way or another",Churches,NA,Male,Caucasian/White,NA,Strongly agree,Strongly agree,Strongly agree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,"Post-graduate degree (Masters, PhD)",NA,"Yes, full-time",I am a team supervisor for a catholic missionary organisation,6,11/17/1999,20,246487.04.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
113,1,100,TRUE,7,6,7,7,7,1,7,7,7,6,1,6,7,5,4,7,7,7,1,2,4,7,6,7,1,7,7,7,3,4,2,4,4,5,2,4,2,4,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, my mum is a nurse and my dad is a farmer and they often explained things scientifically that I have continue to agree with.",affirmation,parent-only source,"Yes, I went to a conservative Christian school where evolutionary thoery was depicted in a negative light, I still hold to many of their arguements and reasoning. My teachers in other scientific disciplines I often listened to and throught whatever they said was truth.",affirmation,multiple source,6,Yes,"In school: senior Biology, Chemistry, Physics",I don't think they would care if I had thought it through and it was backed up with sensible reasoning.,supportive,1,Yes,"Both my parents are Christians so we talked a little about Evolution and Creation. My mum is a nurse so often talked about anatomy and how incredible our bodies are, she would help with biology homework. My dad talked about plants and chemicals with me a lot as he was a farmer, often explained why they needed to do certain things on the farm. However, there was a stage where my scientific knowlege grew beyond their capacity for conversation.",Yes,1,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, both my parents are Christians, I grew up believing the same as they, but there came a time where I did my own research and we may have different opinions on minor doctrinal views within Christianity but i would say that I have been strongly influenced in how I practice, my loyalty to go to Church, my dependence on prayer and my love for God..",affirmation,multiple source,"Yes, all my teachers were Christians and they re-inforced my beliefs through positive interactions with them. We often would talk about religious things during lunchtimes and throughout class. I am more devoted towards Christianity because of my school.",affirmation,multiple source,2,Yes,"I attended youth group which included a Bible talk on a Friday night, I attended a Bible Study within school and would lead sunday school on a Sunday which is where I ran the Bible Classes. Some of my religious classes within school were compulsory which included understanding the Christian Worldview.",I think they would be upset if I left Christianity but I think they would love me still with their whole heart. I think they would be very concerned if I joined another religion but if I came up with differing Christian perspectives they would happily discuss it with me.,supportive,2,Yes,"I would often talk to my mum every morning before school about what we both just personally read in our bibles. We would talk about the things we have been learning about God, ways we can improve living and trusting in God. What our day to day purpose in life was. I would often talk to Dad about how God has greatly impacted his work through prayer and miracles. Religion was a constant conversation, we also talked about other religions.",1,1,Yes,Strongly agree,Neither agree nor disagree,More than once a week,1,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,More than once a week,1,1,Protestant,1,NA,NA,Protestant,Protestant,Protestant,NA,Quite a lot,NA,Quite a lot,Quite a lot,Protestant,NA,Protestant,"Solo prayer,Other solo activity,Group prayer,Other group activity","Bible reading,","Bible Studies, Worship (Singing)",NA,Yes,Yes,None,Churches,NA,Male,Caucasian/White,NA,Strongly agree,Strongly agree,Strongly agree,Some university education (yet to be completed),NA,Undergraduate degree,NA,"Yes, casual",Tutor,6,06/29/2001,18,890320.41.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
199,1,100,TRUE,7,7,7,7,7,1,7,7,7,3,1,4,7,7,1,7,7,7,1,1,1,1,7,7,1,7,1,7,1,2,2,3,3,3,1,3,2,3,2,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes. What they taught me about science and their beliefs in God influenced me.,affirmation,parent-only source,Yes. My school influenced my scientific views through lessons by teachers and the content they covered.,affirmation,multiple source,4,Yes,"science, biology, marine biology, chemistry",They wouldn't mind.,supportive,1,Yes,"Not very often. Perhaps when topics of science arise in the news we might talk about it. We would just talk about the facts, scientific evidence and findings and our opinions about these.",Yes,3,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes. I grew up in a Christian home, so my parents taught me about God, they would read me the Bible and devotions and we would pray as a family. This helped me develop my own beliefs about God.",affirmation,multiple source,Yes. I went to a Christian school where we had weekly chapel services and small groups available.,affirmation,multiple source,4,Yes,In school it was Christian Education (learning about God and the Bible). Outside of school it was small groups where we would discuss our beliefs and read the Bible.,"They would always respect me, however they would feel sad for me and pray for me. They would attempt to bring me back to God in a respectful manner.",directive,1,Yes,"We talk about religion probably more than once a week. We talk about it in normal conversation, we talk about our beliefs and what we are learning. Also we discuss our thoughts of a sermon after church.",2,2,Yes,Agree,Neither agree nor disagree,More than once a week,1,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Once a week,1,1,Protestant,1,NA,NA,Protestant,Protestant,Protestant,NA,Little,NA,Quite a lot,A great deal,NA,NA,Protestant,"Solo prayer,Other solo activity,Group prayer,Other group activity",Read my Bible,Worship,NA,Yes,Yes,"Easter, Christmas",Churches,NA,Female,Caucasian/White,NA,Strongly agree,Strongly agree,Strongly agree,Some university education (yet to be completed),NA,Certificate/Diploma,NA,No,University student,6,07/24/2002,17,776164.25.00,NA,"Yes, I am an Australian citizen",NA,No (please fill in your country of birth),South Africa,South Africa
135,1,100,TRUE,6,7,7,7,7,6,7,7,7,6,5,6,7,7,7,7,7,7,6,6,6,7,7,6,6,7,6,7,6,4,3,3,3,4,3,3,3,4,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, they educate me with online materials and they did bring me to museums for learning purposes.",affirmation,parent-only source,"Yes, they educate me with online materials and they did bring me to museums for learning purposes.",affirmation,multiple source,6,Yes,"Physics, Biology, Chemistry, Criminology and Psychology",They would be supportive of me.,supportive,1,Yes,Not often. We did talk about Science when there are exams or important inventions around the world. Galileo was a person we discussed before.,Yes,2,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, we attend church activities and attend masses.",affirmation,multiple source,"Yes, we attend church activities and attend masses along with catholic education weekly.",affirmation,multiple source,6,Yes,Children's Programs (Catholic),Supportive.,supportive,1,Yes,Every now and then.,5,2,Yes,Strongly agree,Strongly agree,More than once a week,1,Agree,Agree,Agree,Agree,Neither agree nor disagree,Once a year,0,1,Catholic,1,NA,NA,None,Catholic,Christian,NA,Somewhat,NA,Somewhat,Quite a lot,NA,NA,Catholic,"Solo prayer,Group prayer",NA,NA,NA,Yes,Yes,Easter & Christmas,Churches,NA,Male,Asian,NA,Agree,Agree,Agree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,No,Student,7,10/29/2002,17,333242.03.00,NA,No (please fill in your nationality),Chinese/Hong Kong,No (please fill in your country of birth),Hong Kong,Hong Kong
45,1,100,TRUE,7,7,7,7,7,1,7,7,7,7,5,2,7,7,7,2,2,1,1,1,5,5,1,5,2,2,5,1,1,5,2,1,4,5,2,5,4,5,3,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My parents ensured I received a quality education that provided me with a background in critical thinking and appreciation for science.,affirmation,parent-only source,Yes as above,affirmation,uninformative,7,Yes,"Science, Biology, Physics",My parents would listen to and consider my opinion,supportive,2,Yes,Rarely but we have discussed some things,Yes,6,2,2,4,4,4,1,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes in that they weren't particularly religious which influenced my opinion on religion,affirmation,parent-only source,Yes I attended a non denominational school so it influenced my opinion not to be religious,affirmation,multiple source,7,No,N/a,They would respect my opinion,supportive,1,No,NA,4,7,No,Strongly disagree,Strongly disagree,"Never, practically never",0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,"Never, practically never",0,0,Protestant,1,NA,NA,Catholic,Unsure,Protestant,NA,Not at all,NA,Somewhat,Quite a lot,None,NA,None,Other solo activity,No,NA,NA,No,"Yes, but as cultural holidays",None,Churches,NA,Male,Caucasian/White,NA,Strongly disagree,Strongly disagree,Strongly disagree,Undergraduate degree,NA,"Post-graduate degree (Masters, PhD)",NA,"Yes, casual","Student, formerly accountant",2,03/10/1995,25,1397175.59.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
55,1,100,TRUE,7,7,7,7,7,1,7,7,7,5,4,7,7,7,7,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,5,4,4,4,3,4,4,4,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My parents' views about science definitely influenced my scientific views, particularly with a Mother in the healthcare industry who was very scientifically educated.  However, they did also raise me with some religious belief, but never pressured me into believing the same ideals as they did.",affirmation,parent-only source,"Yes, I attended a catholic primary and high school, where scientific views often clashed with the religious views we were also being taught.  My school influences my scientific views by making me question my belief in religion and spirituality, as well as what I believed in terms of science.",affirmation,multiple source,7,Yes,"science, biology, chemistry","They would not mind at all, and would never pressure me to have the same ideals and views as them.",supportive,1,No,"Not Applicable, I rarely talk to my parents about anything science-related.",Yes,6,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, my parents' views about religion did influence my religious views.  They sent me to a religious school and made me attend church services when I was younger.",affirmation,multiple source,"Yes, my school did influence my religious views as it was compulsory to study religion as well as practice the faith and celebrate catholic traditions.",affirmation,multiple source,7,Yes,"Study of Religion Classes, learning about various religions.  Daily prayers and bible classes.",They would not mind.,supportive,1,No,Not applicable.,6,7,No,Strongly disagree,Strongly disagree,"Never, practically never",0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Never, practically never",0,0,Catholic,1,NA,NA,Catholic,Catholic,Catholic,NA,Not at all,NA,A great deal,A great deal,NA,NA,Catholic,Other solo activity,NA,NA,NA,No,"Yes, but as cultural holidays","Christmas, Easter, Lent (to an extent)",None,NA,Female,Caucasian/White,NA,Strongly agree,Strongly agree,Strongly agree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,"Post-graduate degree (Masters, PhD)",NA,"Yes, casual",Disability Support worker,9,08/10/2002,17,698538.51.00,NA,"Yes, I am an Australian citizen",NA,Yes,NA,Australia
114,1,100,TRUE,7,7,7,7,7,1,7,7,7,7,6,5,7,7,4,2,2,2,1,4,4,3,2,4,1,1,1,2,1,4,3,4,4,4,4,4,2,4,4,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My dad is an engineer, so he was always very practical and taught me things based on scientific evidence. He would often show me how things work, such as mechanics, and we would watch documentaries often.",affirmation,parent-only source,"Yes, it was a foundation for my interest in science. The teachers I had that were very passionate about science influenced me to learn more.",affirmation,multiple source,7,Yes,"school: biology, chemistry & physics","They would probably be confused, as most of the family is cynical.",supportive,0,Yes,My dad talks about his engineering job a lot and shows me how his projects work. I used to ask him for help with physics assignments in high school and we would discuss those topics too.,Yes,3,1,2,4,4,4,1,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My parents definitely influenced my religious views as I never grew up with religious practises.,affirmation,parent-only source,"Yes, the state school I went to did not cover any information about religion, so I was very uneducated on the matter. I went to an Anglican high school and although it didn't make me want to become religious, it made me aware of different religions & helped to understand why people would be religious",affirmation,uninformative,7,Yes,school: religious and values education (compulsory class),They would be surprised,directive,1,Yes,"They tend to have strongly atheist beliefs. They talk about how they both went to catholic schools and did not enjoy being forced to go to church by their parents, so they did not push any sort of religion on me but are accepting of people who are religious.",7,7,No,Strongly disagree,Strongly disagree,"Never, practically never",0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Never, practically never",0,0,None,0,NA,NA,Atheism,None,Catholic,NA,Little,NA,Quite a lot,Somewhat,NA,NA,Catholic,Other solo activity,none,NA,NA,No,Yes,"We celebrate Christmas and Easter, but it is more an excuse for family gatherings.",None,NA,Female,Caucasian/White,NA,Strongly disagree,Strongly disagree,Strongly disagree,"Year 12 or equivalent (e.g., Higher School Certificate)",NA,"Post-graduate degree (Masters, PhD)",NA,"Yes, casual",tutor,6,09/08/2002,17,566118.46.00,NA,"Yes, I am an Australian citizen",NA,No (please fill in your country of birth),Malaysia,Malaysia
